Date,Open,High,Low,Close,Adj Close,Volume
11/25/2022,289,289.209991,284.170013,285.540009,285.540009,3236000
11/28/2022,284,289.549988,280.529999,281.170013,281.170013,4703400
11/29/2022,282.5,282.959991,275.940002,280.959991,280.959991,5786900
11/30/2022,281.369995,308.26001,280.410004,305.529999,305.529999,16070100
12/1/2022,303.98999,319.799988,303.029999,316.950012,316.950012,14664900
12/2/2022,310.48999,321.98999,310,320.410004,320.410004,12690600
12/5/2022,316.459991,322.769989,310.920013,312.589996,312.589996,8423000
12/6/2022,311,313.220001,303.130005,305.559998,305.559998,7195400
12/7/2022,306.5,309.609985,302.100006,308.420013,308.420013,7821600
12/8/2022,309.109985,312.380005,304.809998,310.26001,310.26001,7205300
12/9/2022,321.450012,329,319.519989,320.01001,320.01001,14364000
12/12/2022,320,323.179993,308.850006,315.179993,315.179993,10148600
12/13/2022,328,332.720001,317.200012,320.339996,320.339996,10756400
12/14/2022,318.970001,324.709991,314.420013,317.829987,317.829987,7543300
12/15/2022,302.119995,303.390015,286.549988,290.410004,290.410004,17724600
12/16/2022,288.76001,294.720001,288.700012,290.709991,290.709991,14080000
12/19/2022,289.730011,292.25,286.130005,288.299988,288.299988,6163700
12/20/2022,281.23999,289.279999,280.809998,288.190002,288.190002,6918100
12/21/2022,289.98999,300.660004,286.5,297.959991,297.959991,6376200
12/22/2022,298.089996,298.880005,290.809998,297.75,297.75,7856200
12/23/2022,296.179993,298.459991,291.910004,294.959991,294.959991,4251100
12/27/2022,293.190002,293.570007,282.130005,284.170013,284.170013,5778100
12/28/2022,281.920013,285.190002,273.410004,276.880005,276.880005,5964400
12/29/2022,283.179993,295.5,281.01001,291.119995,291.119995,9588500
12/30/2022,285.529999,295.01001,283.220001,294.880005,294.880005,7566900
1/3/2023,298.059998,298.390015,288.700012,294.950012,294.950012,6764000
1/4/2023,298.23999,311.140015,295.51001,309.410004,309.410004,9345100
1/5/2023,307,314.179993,304.549988,309.700012,309.700012,8328400
1/6/2023,311.570007,316.769989,303.690002,315.549988,315.549988,8959800
1/9/2023,316.829987,321.700012,313.220001,315.170013,315.170013,6766600
1/10/2023,311.070007,329.350006,311.070007,327.540009,327.540009,13072300
1/11/2023,326.5,328.880005,321.350006,327.26001,327.26001,9579700
1/12/2023,332.5,332.950012,323.140015,330.130005,330.130005,10856200
1/13/2023,329.970001,336.649994,328.890015,332.820007,332.820007,8286800
1/17/2023,331.079987,332.5,323.600006,326.220001,326.220001,9247000
1/18/2023,326.75,330.079987,321.25,326.329987,326.329987,7814100
1/19/2023,322.570007,324.890015,313.390015,315.779999,315.779999,18008200
1/20/2023,336.790009,344,332.630005,342.5,342.5,28430300
1/23/2023,341.720001,362.25,340.630005,357.420013,357.420013,15646900
1/24/2023,357.529999,365.649994,355.140015,363.829987,363.829987,11796500
1/25/2023,360.570007,368.899994,358.5,367.959991,367.959991,7766900
1/26/2023,368.769989,369.019989,361.700012,364.869995,364.869995,8256800
1/27/2023,363.200012,365.920013,360.589996,360.769989,360.769989,6703500
1/30/2023,358.440002,360.950012,352.859985,353.109985,353.109985,5127600
1/31/2023,349.980011,355.950012,348.709991,353.859985,353.859985,5660700
2/1/2023,353.859985,365.390015,349.910004,361.98999,361.98999,8005200
2/2/2023,365.160004,368.320007,358.429993,366.890015,366.890015,7857000
2/3/2023,359.079987,379.429993,359,365.899994,365.899994,9402000
2/6/2023,363.640015,368.450012,360.679993,361.480011,361.480011,4994900
2/7/2023,358.51001,364.179993,354.179993,362.950012,362.950012,6289400
2/8/2023,360.019989,368.190002,358.309998,366.829987,366.829987,6253200
2/9/2023,372.410004,373.829987,361.73999,362.5,362.5,6901100
2/10/2023,359.160004,362.140015,347.140015,347.359985,347.359985,7291100
2/13/2023,349.5,359.700012,344.25,358.570007,358.570007,7134400
2/14/2023,357.549988,363.75,353.399994,359.959991,359.959991,4624800
2/15/2023,356.630005,362.880005,354.23999,361.420013,361.420013,3966000
2/16/2023,355,361.5,350.309998,350.709991,350.709991,5215700
2/17/2023,347.910004,349,342.440002,347.959991,347.959991,5294700
2/21/2023,342.850006,344.130005,336.420013,337.5,337.5,5710300
2/22/2023,337.5,341.910004,332.820007,334.880005,334.880005,4546200
2/23/2023,331.230011,331.279999,314.299988,323.649994,323.649994,13238700
2/24/2023,319.299988,321.5,314.519989,317.149994,317.149994,6830700
